,University_Id,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Undergraduates,Postgraduates,Doctoral students,Latitude,Longitude,Other_Heads,State
18,U0019,Technische Universit%C3%A4t Darmstadt,,,Public,1877 [1],454.3,,2593,1909,25889,"Darmstadt ,  Hesse ,  Germany","German Universities Excellence Initiative ,  TU9 ,  CLUSTER ,  CESAER ,  T.I.M.E. ,  EAIE ,  FGU ,  EIT ,  EUA , UNITE!, CAST, CRISP, Gauß-Allianz
",www.tu-darmstadt.de,,Tanja Brühl  [ de ] [3],Urban / Suburban,,,,,49.872775,8.651177,,Hesse
19,U0020,Technical University of Dortmund,,,Public,16-Dec-68,307,Ursula Gather,2535,1324,34235,"Dortmund ,  North Rhine-Westphalia ,  Germany",UA Ruhr - University Alliance Ruhr,www.tu-dortmund.de,,,Urban / Suburban,,,,,51.5142273,7.4652789,,North Rhine-Westphalia
20,U0021,Dresden University of Technology,Wissen schafft Brücken.  ( German ),Knowledge builds bridges,Public,1828,577.8,,5751,2470,32389,"Dresden ,  Saxony ,  Germany","German Universities Excellence Initiative PEGASUS   TIME   CESAER  TU9   
 DRESDEN-concept",tu-dresden.de,,Hans Müller-Steinhagen  [ de ],Urban,,,,,51.0493286,13.7381437,,Saxony
21,U0022,University of Duisburg-Essen,Offen im Denken,Open-minded,Public,"1654, re-established on 1 January 2003",483,Ulrich Radtke  [ de ],4062,1581,43043,"Duisburg  and  Essen ,  North Rhine-Westphalia ,  (Germany)","Aurora , UAMR – University Alliance Metropolis Ruhr, [3]   DAAD ,  DFG ,  IRUN",www.uni-due.de,Rainer Ambrosy,,Urban/Suburban,Blue  white,,,,51.4428173,6.707225052,,North Rhine-Westphalia
22,U0023,University of D%C3%BCsseldorf,,,Public,1965,310,Anja Steinbeck  [ de ],3534,1182,32069,"Düsseldorf ,  North Rhine-Westphalia ,  Germany",,www.uni-duesseldorf.de,,,,,,,,51.42793,6.83081,,North Rhine-Westphalia
23,U0024,Catholic University of Eichst%C3%A4tt-Ingolstadt,,,catholic,1980 (as university),,,,,,"Eichstätt  &  Ingolstadt ,  Bavaria ,  Germany",,www.ku.de,,Gabriele Gien,,,,,,48.76588565,11.4158383,,Bavaria
24,U0025,University of Erfurt,,,Public,1379  (closed 1816–1993),59.5,,358,287,5715,"Erfurt ,  Thuringia ,  Germany",,www.uni-erfurt.de,,Walter Bauer-Wabnegg,Urban,,,,,50.9777974,11.0287364,,Thuringia
25,U0026,University of Erlangen-Nuremberg,,,Public,"1742 (first)  November 4, 1743  ( 1743-11-04 )  (moved)  [1] [2]",543.1,,4036,2320,38771,"Erlangen  and  Nuremberg ,  Bavaria ,  Germany","Domestic:  1.  Bavarian State Ministry for Science, Research and Art   2.  DFG 3.  Excellence Universities International: 1. Top Industrial Managers for Europe 2.  SEFI",fau.eu,Christian Zens [5],Joachim Hornegger [5],Urban,Blue,,,,49.45832195,11.08546,Prof. Dr. Bärbel Kopp (Vice President for Education) Prof. Dr. Günter Leugering (Vice President for Research) Prof. Dr. Kathrin M. Möslein (Vice President for Outreach) Prof. Dr. Friedrich Paulsen (Vice President for People) [5],Bavaria
26,U0027,University of Duisburg-Essen,Offen im Denken,Open-minded,Public,"1654, re-established on 1 January 2003",483,Ulrich Radtke  [ de ],4062,1581,43043,"Duisburg  and  Essen ,  North Rhine-Westphalia ,  (Germany)","Aurora , UAMR – University Alliance Metropolis Ruhr, [3]   DAAD ,  DFG ,  IRUN",www.uni-due.de,Rainer Ambrosy,,Urban/Suburban,Blue  white,,,,51.4428173,6.707225052,,North Rhine-Westphalia
27,U0028,University of Flensburg,,,Public,1994,27.7,,346,133,5333,"Flensburg ,  Schleswig-Holstein ,  Germany",,www.uni-flensburg.de,,Werner Reinhart,,,,,,54.7833021,9.4333264,,Schleswig-Holstein
28,U0029,Goethe University Frankfurt,,,Public,18 October 1914  ( 1914-10-18 ) [1],644.6,,3055,2038,46961,"Campus Westend: Theodor-W.-Adorno-Platz 1 ,  Frankfurt am Main ,  Hesse ,  60323 ,  Germany",,www.goethe-university-frankfurt.de,Albrecht Fester [3],Birgitta Wolff [4],multiple sites,,21864,6910,1817,50.12772,8.66888,"Simone Fulda ,  Rolf van Dick ,  Roger Erb ,  Manfred Schubert-Zsilavecz [5]",Hesse
29,U0030,Viadrina University,Ex oriente lux,Light from the east,Public,"1506, closed 1811, refounded 1991",,,579,,6647,"Frankfurt (Oder) ,  Brandenburg ,  Germany",,www.europa-uni.de,,Alexander Wöll,"Urban , several locations",,,,,52.32518245,14.49277685,,Brandenburg
30,U0031,Freiberg University of Mining and Technology,The University of Resources. Since 1765.,,,1765,,,,,4294,"Freiberg , Baden-Württemberg ,  Saxony",,tu-freiberg.de,p.p. Jens Then,Prof. Klaus-Dieter Barbknecht,,,,,,50.9169415,13.3428889,,Baden-Württemberg
31,U0032,Zeppelin University,"""Bridging Business, Culture and Politics""",,Private  –  Research,Jun-03,,,28,224,1060,"Friedrichshafen ,  Baden-Württemberg ,  Germany",,www.zeppelin-university.com,,Prof. Dr. Insa Sjurts,"Lake Campus ,  FN ZF Campus , FN",,,,,47.6505715,9.4797531,,Baden-Württemberg
32,U0033,University of Freiburg,Die Wahrheit wird euch frei machen,The Truth Will Set You Free,Public,1457,339.8,Hans-Jochen Schiewer  [ de ],2657,2033,24612,"Freiburg im Breisgau ,  Baden-Württemberg ,  Germany",U15 EUA IFPU EUCOR LERU,www.uni-freiburg.de,,,University town,Blue Red White,,,,47.9960901,7.8494005,,Baden-Württemberg
33,U0034,University of Giessen,,,Public,1607,223,Joybrato Mukherjee,3039,2394,28454,"Gießen ,  Hesse ,  Germany","German Academic Exchange Service (DAAD) ,  German Research Council (DFG)",www.uni-giessen.de,,,,Blue  white,,,,50.5862066,8.6742306,,Hesse
34,U0035,University of G%C3%B6ttingen,In publica commoda ( Latin ) ,For the good of all,Public,1734,1.233,,4241,7752,31619,"Göttingen ,  Lower Saxony ,  Germany",German Excellence Universities   Coimbra Group   U15   EUA  U4 Network Guild of European Research-Intensive Universities,www.uni-goettingen.de,,Ulrike Beisiegel,University town,,,,733,51.5327604,9.9352051,,Lower Saxony
35,U0036,University of Greifswald,""" Wissen lockt. Seit 1456 "" (""The Draw of Knowledge. Since 1456"") ",,Public,"1456,  Holy Roman Empire    (teaching since 1436) [2]",81.3,Johanna Eleonore Weber (352nd),2949,3343,10179,"Greifswald ,  Mecklenburg-Vorpommern ,  Germany","CBUR,  DAAD ,  DFG ,  EUA , HRK",https://www.uni-greifswald.de/en/,,,Urban,,,,,54.095791,13.3815238,,Mecklenburg-Vorpommern
36,U0037,University of Hagen,Ipsa Scientia Potestas Est,Knowledge Itself Is Power,Public,1974,,Ada Pellert,1824,,76689,"Hagen ,  North Rhine-Westphalia ,  Germany",European Association of Distance Teaching Universities     ACQUIN     AQAS     FIBAA     EUA,www.fernuni-hagen.de,Regina Zdebel,,Urban     Distance education,Blue  White,,,,51.3582945,7.473296,,North Rhine-Westphalia
37,U0038,University of Halle-Wittenberg,Zukunft mit Tradition,Future with Tradition,Public,1502,182.9,Christian Tietje  [ de ],663,710,19319,"Halle ,  Saxony-Anhalt ,  Germany",Global Compact,www.uni-halle.de,,,Urban,Emerald green,,,,51.4825041,11.9705452,,Saxony-Anhalt
38,U0039,University of Hamburg,"Der Forschung, der Lehre, der Bildung","For research, for teaching, for education",Public,1919 ; 100 years ago  ( 1919 ),665,,5382,7441,43636,"Hamburg ,  Germany","EUA ,  Campus Europae ,  German U15",www.uni-hamburg.de,Martin Hecht,Dieter Lenzen  [ de ],Urban,Red  white,,,4946,53.550341,10.000654,,Hamburg
39,U0040,HafenCity University Hamburg,,,Public,2006 ; 13 years ago  ( 2006 ),,,,,,"Hamburg ,  Germany",,http://www.hcu-hamburg.de/,,,Urban,,,,,53.550341,10.000654,,Hamburg
40,U0041,Hamburg University of Technology,,,Public,1978,128.2,,673,,7832,"Hamburg ,  Germany",CESAER,http://www.tuhh.de/,,Hendrik Brinksma (2018),Urban,,,,,53.550341,10.000654,,Hamburg
41,U0042,Helmut Schmidt University,,,,1973,,,,,2144,"Hamburg ,   Germany",,www.hsu-hh.de,,Wilfried Seidel,,,,,,53.550341,10.000654,,Hamburg
42,U0043,Hertie School of Governance,Understand today. Shape tomorrow. ,,Private,2003,13,"Andrea Römmele, Mark Hallerberg, Christine Reh [3]",,,605,"Berlin ,  Germany",,www.hertie-school.org,,Henrik Enderlein,Friedrichstraße,Red grey  white,,,60,52.5170365,13.3888599,"Axel Baisch [4]Andrea Römmele, Mark Hallerberg, Christine Reh [3]",Berlin
43,U0044,Leibniz University Hannover,Mit Wissen Zukunft gestalten ,Shaping the future with knowledge,Public,"May 2, 1831 [1]",447.2,,3046,1739,26035,"Hanover ,  Lower Saxony ,  Germany",TU9 CESAER Association,www.uni-hannover.de,,Volker Epping  [ de ],,,,,,52.3744779,9.7385532,,Lower Saxony
44,U0045,University of Heidelberg,Semper apertus  ( Latin ) ,Always open,Public,1386 ; 633 years ago  ( 1386 ),461,,,7392,30873,"Heidelberg ,  Baden-Württemberg ,  Germany","
 German Universities Excellence Initiative 
 LERU 
 Coimbra Group 
 U15 
 EUA 
",www .uni-heidelberg .de  ,Holger Schroeter,Bernhard Eitel,Urban /University town and  Suburban,Sandstone red  gold,15289,11871,3024,49.4093582,8.694724,,Baden-Württemberg
45,U0046,University of Hildesheim,,,Public,1946,,,560,,7500,"Hildesheim , Lower Saxony ,  Germany",,www.uni-hildesheim.de/,,Wolfgang-Uwe Friedrich,,,,,,52.1521636,9.9513046,,Lower Saxony
46,U0047,University of Hohenheim,,,Public,1818,144.2,Stephan Dabbert,941,1100,9759,"Stuttgart ,  Baden-Württemberg ,  Germany",,www.uni-hohenheim.de,,,,Blue,,,,48.7784485,9.1800132,,Baden-Württemberg
47,U0048,Technical University of Ilmenau,The Spirit of Science,,Public,1894,124.2,,,,6248,"Ilmenau ,  Thuringia ,  Germany",,www.tu-ilmenau.de,,,,Green  White,5800,1400,,50.6867695,10.9142385,,Thuringia
48,U0049,University of Jena,,,Public,1558,372,,3415,5151,18219,"Jena ,  Thuringia ,  Germany",Coimbra Group   EUA,www.uni-jena.de,,Walter Rosenthal,University town,,,,,50.9281717,11.5879359,,Thuringia
49,U0050,Kaiserslautern University of Technology,,,Public research university,1970 [1],208.7,,2418,233,14869,"Kaiserslautern ,  Rhineland-Palatinate ,  Germany",,www.uni-kl.de,Stefan Lorenz [3],Helmut J. Schmidt,,,,,,49.4432174,7.7689951,,Rhineland-Palatinate
50,U0051,Karlsruhe Institute of Technology,,,Public,"Fridericiana Polytechnic: 1825   TU Karlsruhe: 1865   KIT: October 1, 2009",901.7,,5859,3456,25196,"Karlsruhe ,  Baden-Württemberg ,  Germany",German Universities Excellence Initiative CLUSTER CESAER ENTREE TU9 EUA EUCOR Helmholtz Association,kit.edu,,Holger Hanselka [2],Urban / Suburban,,14136,8181,664,49.0068705,8.4034195,Renate Schubert [2],Baden-Württemberg
51,U0052,University of Kassel,,,Public,1971,228.72,,2019,1246,25043,"Kassel ,  Hesse ,  Germany",,www.uni-kassel.de,Oliver Fromm [2],Reiner Finkeldey [2],,Ruby,,,,51.3154546,9.4924096,,Hesse
52,U0053,University of Kiel,Pax optima rerum,Peace is the greatest good,Public,1665,167.1,,1162,1129,26735,"Kiel ,  Schleswig-Holstein ,  Germany",,www.uni-kiel.de,,Lutz Kipp  [ de ],Urban,Purple  white,,,,54.3227085,10.135555,,Schleswig-Holstein
53,U0054,University of Koblenz-Landau,,,Public,1990,41.5,,,,16479,"Koblenz  and  Landau ,  Rhineland-Palatinate ,    Germany",,www.uni-koblenz-landau.de,Michael Ludewig,May-Britt Kallenrode,,,,,,50.3638081,7.5592278,"Harald von Korflesch ,  Gabriele Schaumann",Rhineland-Palatinate
54,U0055,University of Konstanz,,,Public,1966,188.65,Kerstin Krieglstein,1067,850,11268,"Konstanz ,  Baden-Württemberg ,  Germany","German Excellence Universities ,  EUA ,  YERUN ,  IBH",www.uni-konstanz.de,,,,,,,1165,47.659216,9.1750718,,Baden-Württemberg
